split_id,protocol,seed,fold,model_id,selected_hyperparameters
lopo__seed-42__fold-33,lopo,42,33,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-34,lopo,42,34,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-35,lopo,42,35,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-36,lopo,42,36,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-37,lopo,42,37,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-38,lopo,42,38,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-39,lopo,42,39,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-40,lopo,42,40,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-41,lopo,42,41,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-42,lopo,42,42,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-43,lopo,42,43,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-44,lopo,42,44,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-45,lopo,42,45,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-46,lopo,42,46,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-47,lopo,42,47,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-48,lopo,42,48,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 7, ""min_samples_leaf"": 1}"
lopo__seed-42__fold-49,lopo,42,49,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-50,lopo,42,50,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-51,lopo,42,51,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-52,lopo,42,52,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-53,lopo,42,53,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-54,lopo,42,54,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-55,lopo,42,55,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-56,lopo,42,56,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-57,lopo,42,57,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-58,lopo,42,58,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-59,lopo,42,59,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-60,lopo,42,60,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-61,lopo,42,61,dt_baseline,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-62,lopo,42,62,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-63,lopo,42,63,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-64,lopo,42,64,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-65,lopo,42,65,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-66,lopo,42,66,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-67,lopo,42,67,dt_baseline,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-68,lopo,42,68,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-69,lopo,42,69,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-70,lopo,42,70,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-71,lopo,42,71,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-72,lopo,42,72,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-73,lopo,42,73,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-74,lopo,42,74,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 7, ""min_samples_leaf"": 1}"
lopo__seed-42__fold-75,lopo,42,75,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-76,lopo,42,76,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-77,lopo,42,77,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
