split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
lopo__seed-42__fold-71,lopo,42,71,xgb_baseline,0.7990911602973938,0.5055567622184753,0.7990911602973938,0.7990911602973938
lopo__seed-42__fold-72,lopo,42,72,xgb_baseline,0.8342256546020508,0.284794420003891,0.8342256546020508,0.8342256546020508
lopo__seed-42__fold-73,lopo,42,73,xgb_baseline,0.8212897777557373,0.06103610619902611,0.8648814558982849,0.8648814558982849
lopo__seed-42__fold-74,lopo,42,74,xgb_baseline,0.8278176188468933,0.08647661656141281,0.8722314834594727,0.8722314834594727
lopo__seed-42__fold-75,lopo,42,75,xgb_baseline,0.8451662659645081,0.04780973121523857,0.8953957557678223,0.8953957557678223
lopo__seed-42__fold-76,lopo,42,76,xgb_baseline,0.8099132776260376,0.45256727933883667,0.8311237692832947,0.8311237692832947
lopo__seed-42__fold-77,lopo,42,77,xgb_baseline,0.648391842842102,0.5251225233078003,0.8297041058540344,0.8297041058540344
lopo__seed-42__fold-78,lopo,42,78,xgb_baseline,0.8167955875396729,0.48118820786476135,0.8167955875396729,0.8167955875396729
lopo__seed-42__fold-79,lopo,42,79,xgb_baseline,0.7892431616783142,0.12267754226922989,0.816247820854187,0.816247820854187
lopo__seed-42__fold-80,lopo,42,80,xgb_baseline,0.7952250242233276,0.3308280110359192,0.8155966997146606,0.8155966997146606
lopo__seed-42__fold-81,lopo,42,81,xgb_baseline,0.7910547256469727,0.5851907134056091,0.7910547256469727,0.7910547256469727
lopo__seed-42__fold-82,lopo,42,82,xgb_baseline,0.8087746500968933,0.23028546571731567,0.850232720375061,0.850232720375061
lopo__seed-42__fold-83,lopo,42,83,xgb_baseline,0.8353829383850098,0.2533128261566162,0.851481556892395,0.851481556892395
lopo__seed-42__fold-84,lopo,42,84,xgb_baseline,0.8878303170204163,0.024159200489521027,0.8878303170204163,0.8878303170204163
lopo__seed-42__fold-85,lopo,42,85,xgb_baseline,0.81637042760849,0.23656302690505981,0.8206950426101685,0.8206950426101685
lopo__seed-42__fold-86,lopo,42,86,xgb_baseline,0.7026995420455933,0.40307366847991943,0.8277757167816162,0.8277757167816162
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,xgb_paper_sqrt,0.8915389776229858,0.16048172116279602,0.8915389776229858,0.8915389776229858
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,xgb_paper_sqrt,0.7758508324623108,0.28874462842941284,0.8488261699676514,0.8488261699676514
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,xgb_paper_sqrt,0.8581822514533997,0.4866328239440918,0.8620379567146301,0.8620379567146301
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,xgb_paper_sqrt,0.6947660446166992,0.4152667820453644,0.8735223412513733,0.8735223412513733
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,xgb_paper_sqrt,0.785331130027771,0.343421071767807,0.8599255084991455,0.8599255084991455
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,xgb_paper_sqrt,0.7199972867965698,0.3644290566444397,0.7199972867965698,0.7199972867965698
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,xgb_paper_sqrt,0.854121208190918,0.08378642797470093,0.854121208190918,0.854121208190918
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,xgb_paper_sqrt,0.7962582111358643,0.2090691328048706,0.8564971685409546,0.8564971685409546
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,xgb_paper_sqrt,0.7647881507873535,0.46525442600250244,0.8683232069015503,0.8683232069015503
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,xgb_paper_sqrt,0.8964802622795105,0.02932446449995041,0.9376132488250732,0.9376132488250732
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,xgb_paper_sqrt,0.8405429124832153,0.11928064376115799,0.9487447142601013,0.9487447142601013
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,xgb_paper_sqrt,0.7972261905670166,0.37866395711898804,0.7972261905670166,0.7972261905670166
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,xgb_paper_sqrt,0.8248429298400879,0.39815786480903625,0.870564341545105,0.870564341545105
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,xgb_paper_sqrt,0.8489670753479004,0.31496334075927734,0.8489670753479004,0.8489670753479004
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,xgb_paper_sqrt,0.8043718338012695,0.4326944649219513,0.8333471417427063,0.8333471417427063
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,xgb_paper_sqrt,0.8382002711296082,0.32180705666542053,0.8545910716056824,0.8545910716056824
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,xgb_paper_sqrt,0.737953782081604,0.39818817377090454,0.8104667663574219,0.8104667663574219
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,xgb_paper_sqrt,0.6544046998023987,0.01756843738257885,0.869386613368988,0.869386613368988
