split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
lopo__seed-42__fold-20,lopo,42,20,knn_baseline,0.7425757601485076,0.38846137533775266,0.7434542891788719,0.7434542891788719
lopo__seed-42__fold-21,lopo,42,21,knn_baseline,0.7626113202804322,0.28667911948285774,0.7679273889211827,0.7679273889211827
lopo__seed-42__fold-22,lopo,42,22,knn_baseline,0.7958082767937316,0.2923653167191164,0.8190296924616727,0.8190296924616727
lopo__seed-42__fold-23,lopo,42,23,knn_baseline,0.7503815725126433,5.1578407797958575e-06,0.7503815725126433,0.7503815725126433
lopo__seed-42__fold-24,lopo,42,24,knn_baseline,0.845163412570299,0.40676542627172113,0.845163412570299,0.845163412570299
lopo__seed-42__fold-25,lopo,42,25,knn_baseline,0.8584666016935409,0.27164964684012827,0.8584666016935409,0.8584666016935409
lopo__seed-42__fold-26,lopo,42,26,knn_baseline,0.637194480868415,0.14291177254444473,0.8606573969795828,0.8606573969795828
lopo__seed-42__fold-27,lopo,42,27,knn_baseline,0.633038788609106,0.04324561569152631,0.8701315534404167,0.8701315534404167
lopo__seed-42__fold-28,lopo,42,28,knn_baseline,0.8108026356179526,0.333616584047108,0.8119220397202356,0.8119220397202356
lopo__seed-42__fold-29,lopo,42,29,knn_baseline,0.6757072346435155,0.3459481281814259,0.6757072346435155,0.6757072346435155
lopo__seed-42__fold-30,lopo,42,30,knn_baseline,0.7855706813817827,0.23350390226406578,0.7855706813817827,0.7855706813817827
lopo__seed-42__fold-31,lopo,42,31,knn_baseline,0.8236257671539702,0.14434263683248325,0.8236257671539702,0.8236257671539702
lopo__seed-42__fold-32,lopo,42,32,knn_baseline,0.8425610231417449,0.27835302648168,0.8425610231417449,0.8425610231417449
lopo__seed-42__fold-33,lopo,42,33,knn_baseline,0.7836857866295405,0.4662669680370865,0.7836857866295405,0.7836857866295405
lopo__seed-42__fold-34,lopo,42,34,knn_baseline,0.836101508742946,0.08219071018153051,0.836101508742946,0.836101508742946
lopo__seed-42__fold-35,lopo,42,35,knn_baseline,0.7287385617707045,0.0303956680728896,0.7890430744805584,0.7890430744805584
lopo__seed-42__fold-36,lopo,42,36,knn_baseline,0.7274902708136207,0.4153962458289457,0.8165115859490852,0.8165115859490852
lopo__seed-42__fold-37,lopo,42,37,knn_baseline,0.8048059299781763,0.3378044121675339,0.8051409434712882,0.8051409434712882
lopo__seed-42__fold-38,lopo,42,38,knn_baseline,0.9044894456274878,0.13208203635123744,0.84160782791789,0.84160782791789
lopo__seed-42__fold-39,lopo,42,39,knn_baseline,0.6373079230900083,0.2969255628434668,0.7642643093467048,0.7642643093467048
