protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
interpolation_stratified,knn_distance_sqrt,knn_weighted_sqrt,15,-0.000599590664350876,0.5939546753269146,-0.00027922932098369826,0.7670968684102772,0.0006459025515340277,0.44126813332892967,0.003695473083552151,0.33053567270784123,-0.0012943663323019994,0.4703377962613965,0.0008081583694983167,0.7775646168566407,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,knn_weighted_inverse,knn_weighted_sqrt,15,-0.005372319318286989,0.25238037109375,-0.0014790435887828135,0.48870849609375,0.0015537803583388003,0.45428466796875,-0.0005819605117506084,0.890380859375,-0.005138842304474723,0.00836181640625,-0.003774495353660819,0.27685546875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_baseline,knn_distance_inverse,87,0.03135964464959901,0.11371499844448898,0.020647263239062647,0.39172073941517005,-0.04942935737497615,0.00039563042283059444,-0.001459208176606299,0.820389829874258,0.002152235824353041,0.7670968684102772,-0.051039994870416036,0.23365992220081477,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_baseline,knn_distance_sqrt,87,0.026317634346289157,0.4640739935164575,0.016512652929208314,0.21589288218486657,-0.05184901526413823,5.604291870749049e-05,-0.011138403570564247,0.4217098627468665,0.0031078525273810467,0.6784023758521882,-0.038844351768269614,0.4563898758594639,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_baseline,knn_weighted_inverse,87,0.04470981779606348,0.023743325999063036,0.030689870320214894,0.02144206316527819,-0.05622679353419637,0.00018236910240536792,-0.00942259846911023,0.817467886098501,0.0004878582968091271,0.7353166906373405,-0.03885901387913042,0.3149517276634849,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_baseline,knn_weighted_sqrt,87,-0.012799347196736456,0.3946277869210123,-0.007340106279288169,0.35417442928032095,-0.04971662466693341,5.957386824592318e-05,-0.013125108388501124,0.5566018657073668,-0.000526301838488655,0.7353166906373405,-0.04521866533915307,0.30077686655113156,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_distance_inverse,knn_distance_sqrt,87,-0.00504201030330985,0.2532419790863747,-0.004134610309854333,0.5015424026157572,-0.0024196578891620742,0.6046429906064283,-0.009679195393957944,0.6663782173486559,0.0009556167030280057,0.7150006546880893,0.012195643102146436,0.6431043572490869,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_distance_inverse,knn_weighted_inverse,87,0.013350173146464465,0.4833217839357251,0.010042607081152243,0.2776432923583433,-0.00679743615922022,0.2025138254964325,-0.007963390292503926,0.9053327102078165,-0.0016643775275439138,0.4652088184521418,0.012180980991285624,0.7122335109425411,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_distance_inverse,knn_weighted_sqrt,87,-0.044158991846335476,0.023743325999063036,-0.027987369518350815,0.021764967355595324,-0.0002872672919572732,0.5392650472755577,-0.011665900211894824,0.5857115693468691,-0.002678537662841696,0.14412703481601533,0.005821329531262969,0.7348873883239498,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_distance_sqrt,knn_weighted_inverse,87,0.018392183449774314,0.1849308689534782,0.014177217391006578,0.13538882573328165,-0.004377778270058143,0.8780188226418689,0.001715805101454019,0.9375208663339457,-0.0026199942305719197,0.4652088184521418,-1.4662110860809573e-05,0.9499682278626905,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_distance_sqrt,knn_weighted_sqrt,87,-0.03911698154302561,0.24630963574442422,-0.023852759208496478,0.037511670521472626,0.0021323905972048004,0.736818501254745,-0.0019867048179368794,0.8288123742464508,-0.003634154365869702,0.34523107177184,-0.0063743135708834685,0.9610438707209716,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,knn_weighted_inverse,knn_weighted_sqrt,87,-0.05750916499279994,0.005725704849220617,-0.03802997659950306,0.0009443682453094625,0.006510168867262948,0.6293806228610119,-0.003702509919390897,0.8958602855908943,-0.0010141601352977822,1.0,-0.006359651460022654,0.963186177457335,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
