protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
interpolation_holdout,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_paper_bagging,3,0.029879779966285176,0.25,0.010524722541224349,0.25,-0.001106475790341695,0.75,0.047709280609238146,0.25,0.0072239572982708555,0.25,0.02164404223227745,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_unweighted,3,-0.0005279034690798637,1.0,6.168602624279096e-05,1.0,0.0136542742451032,0.25,0.005541659756968372,0.75,-0.008143866070769742,0.25,0.005769230769230749,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_physics_focal_class_paper_weighted,xgb_physics_paper_bagging,3,-0.36780232454972944,0.25,-0.2004708442647634,0.25,0.6268735478321711,0.25,-0.5071293614354818,0.25,-0.015254408979194908,0.25,-0.30309200603318254,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_physics_focal_class_paper_weighted,xgb_physics_unweighted,3,-0.3982100079850945,0.25,-0.21093388077974495,0.25,0.641634297867616,0.25,-0.5492969822877515,0.25,-0.030622232348235506,0.25,-0.31896681749622924,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,xgb_physics_paper_bagging,xgb_physics_unweighted,3,-0.03040768343536504,0.25,-0.010463036514981558,0.25,0.014760750035444895,0.25,-0.04216762085226977,0.25,-0.015367823369040598,0.25,-0.0158748114630467,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_class_paper_weighted,xgb_all_focal_class_paper_weighted,15,0.43132217504252257,6.103515625e-05,0.2218381898530794,6.103515625e-05,-0.631851564347744,6.103515625e-05,0.613933748933084,6.103515625e-05,0.03502507077373339,6.103515625e-05,0.3463552502682278,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_class_paper_weighted,xgb_all_unweighted,15,-0.0006032806834540401,0.18188306036995905,-0.0004379167221910896,0.05535888671875,0.009322544435660045,6.103515625e-05,0.00639509559401726,0.15781136896845493,-0.0006039777093209464,0.5994873046875,-0.00020477501071800575,0.7197265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_class_paper_weighted,xgb_physics_class_paper_weighted_monotone_o2,15,0.01771578342583943,6.103515625e-05,0.006641114763416541,6.103515625e-05,-0.011698687076568603,6.103515625e-05,0.04214067594431824,6.103515625e-05,0.006101163809019158,0.00836181640625,0.022944808375372397,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_class_paper_weighted,xgb_physics_focal_class_paper_weighted,15,0.4295224950081727,6.103515625e-05,0.21918381659832112,6.103515625e-05,-0.6383595372239749,6.103515625e-05,0.6316911423149886,6.103515625e-05,0.03502507077373339,6.103515625e-05,0.3496948255908231,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_class_paper_weighted,xgb_physics_paper_bagging,15,0.036880629240080585,6.103515625e-05,0.01210728322706492,6.103515625e-05,-0.008341533939043681,0.0001220703125,0.06127470855331109,6.103515625e-05,0.02231212094252999,6.103515625e-05,0.03154032747119471,0.0006533107814151376,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_class_paper_weighted,xgb_physics_unweighted,15,0.015406794569299491,6.103515625e-05,0.005544491478660207,6.103515625e-05,0.000540475050608317,0.76153564453125,0.04714990402334312,0.0001220703125,0.003606816956673575,0.063720703125,0.0193734131241712,0.00042724609375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_focal_class_paper_weighted,xgb_all_unweighted,15,-0.4319254557259766,6.103515625e-05,-0.22227610657527047,6.103515625e-05,0.6411741087834041,6.103515625e-05,-0.6075386533390666,6.103515625e-05,-0.035629048483054336,6.103515625e-05,-0.34656002527894575,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_focal_class_paper_weighted,xgb_physics_class_paper_weighted_monotone_o2,15,-0.41360639161668306,6.103515625e-05,-0.21519707508966282,6.103515625e-05,0.6201528772711754,6.103515625e-05,-0.5717930729887658,6.103515625e-05,-0.02892390696471423,6.103515625e-05,-0.3234104418928554,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_focal_class_paper_weighted,xgb_physics_focal_class_paper_weighted,15,-0.0017996800343498783,0.8752911852109797,-0.002654373254758221,0.43262594902013973,-0.006507972876230876,0.789675102094056,0.01775739338190468,0.17971249487899976,0.0,1.0,0.003339575322595334,0.17971249487899976,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_focal_class_paper_weighted,xgb_physics_paper_bagging,15,-0.39444154580244195,6.103515625e-05,-0.20973090662601443,6.103515625e-05,0.6235100304087003,6.103515625e-05,-0.5526590403797729,6.103515625e-05,-0.012712949831203397,6.103515625e-05,-0.31481492279703305,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_focal_class_paper_weighted,xgb_physics_unweighted,15,-0.4159153804732231,6.103515625e-05,-0.21629369837441914,6.103515625e-05,0.6323920393983523,6.103515625e-05,-0.566783844909741,6.103515625e-05,-0.03141825381705981,6.103515625e-05,-0.32698183714405654,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_unweighted,xgb_physics_class_paper_weighted_monotone_o2,15,0.01831906410929347,6.103515625e-05,0.007079031485607631,6.103515625e-05,-0.021021231512228646,6.103515625e-05,0.035745580350300975,6.103515625e-05,0.006705141518340104,0.0042724609375,0.023149583386090404,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_unweighted,xgb_physics_focal_class_paper_weighted,15,0.4301257756916267,6.103515625e-05,0.21962173332051224,6.103515625e-05,-0.6476820816596349,6.103515625e-05,0.6252960467209714,6.103515625e-05,0.035629048483054336,6.103515625e-05,0.34989960060154107,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_unweighted,xgb_physics_paper_bagging,15,0.037483909923534627,6.103515625e-05,0.01254519994925601,6.103515625e-05,-0.017664078374703726,6.103515625e-05,0.054879612959293826,6.103515625e-05,0.022916098651850937,6.103515625e-05,0.031745102481912715,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
