model_id,model_family,feature_set,augmentation,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,NRMSE_mean,MBE_mean,fold_count
knn_distance_sqrt,knn,all,rd_bt,0.7348284386004488,0.0327315056434072,0.0092714542625738,0.0004043717939056,0.0033966605554379,0.0001801693074947,65.07977374201452,1.0328763616700851,-0.0001710298924905,10
knn_uniform,knn,all,rd_bt,0.7308034633980195,0.0522012543269481,0.0093135227022726,0.0007653712473231,0.0033980617667012,0.000274998278159,60.03238389249534,1.0378810000780274,2.0549340376362427e-05,10
knn_uniform,knn,all,rd,0.7287625736616812,0.0598097139336456,0.0093127778183018,0.0007526873529318,0.0034760124833388,0.0002771657756117,62.87653077216852,1.0391554377788528,-2.252147546559233e-05,10
knn_uniform_sqrt,knn,all,rd,0.725970433956522,0.0494418844103775,0.0094029538034216,0.0006774735772113,0.0034774198313809,0.0002541883770499,73.3076958465258,1.0477008993333723,-1.205205184580966e-05,10
knn_distance_sqrt,knn,all,rd,0.7245034335646434,0.0496146114125743,0.0094285048393549,0.0006876562691149,0.0035316381775474,0.0002134269792943,77.64206753069217,1.050370650809973,-2.190893353583628e-05,10
knn_distance_inverse,knn,all,rd,0.7194387825259179,0.0624138091499962,0.0094934301301121,0.0008670316881641,0.0036797921441635,0.0003590735528489,103.1352034708043,1.05820745760292,-0.0001479816110212,10
knn_uniform_inverse,knn,all,rd_bt,0.7182547518457603,0.0370026937495442,0.0095581234131813,0.0005541433337861,0.0036332696225936,0.0001961616065689,94.7672264945294,1.0641067808041622,-8.404548327974458e-05,10
knn_uniform_inverse,knn,all,rd,0.7162385797480789,0.0578834864894281,0.00955714320456,0.0008267031885584,0.0037488582067228,0.0003298767259345,113.00290787736073,1.0646197790184426,-0.000143494651601,10
knn_distance,knn,all,rd,0.7079614834296825,0.0846347272466036,0.0096311096902166,0.0009762077019379,0.0035277561374251,0.0002695966078697,67.19099976581631,1.075265822179545,-0.0001170300454846,10
mlp_log_target_sqrt,mlp,all,rd_bt,0.6777152669830993,0.0876469438676161,0.0101692228355822,0.0013707899493489,0.0050551638685482,0.0013230429486432,486.1120277712451,1.1314127041888506,-0.0002422244055757,10
mlp_log_target_inverse,mlp,all,rd,0.6757517559034653,0.0661294158935599,0.0102073725537541,0.0008639501303597,0.0058122205998783,0.0009017029021186,748.152767501021,1.137720171540706,-0.0001660192153274,10
mlp_log_target_inverse,mlp,all,rd_bt,0.6537957433392976,0.1260664662873529,0.0104314621293134,0.0016049065128421,0.0059165841791146,0.0014823920736116,808.3707096420344,1.163497597607097,-0.0006729639629148,10
svr_rbf_inverse,svr,all,rd,0.6476972045597258,0.0713180320735985,0.0106337922438278,0.0007763931532918,0.0072778524921962,0.0004520578848019,1718.5026480825811,1.1857877733643256,0.0006424860003603,10
svr_rbf,svr,all,rd_bt,0.6470898853022933,0.0900625190301851,0.0106057263609657,0.0010643004662113,0.0072775339981028,0.0004992949154473,1622.658776517738,1.1833706250709473,0.0011045957456752,10
svr_rbf_inverse,svr,all,rd_bt,0.6439517164462547,0.0570833682457364,0.010717752452142,0.0005388532365903,0.0072478605243434,0.0002531539636599,1697.7642058701229,1.1942529431929636,0.0002749965345442,10
mlp_log_target_sqrt,mlp,all,rd,0.6333893810256163,0.2038329359888766,0.0106050562921952,0.002016788940404,0.0052778163400989,0.0006351090710889,721.9893394298907,1.1864226490927894,0.0011007278977519,10
