model_id,model_family,feature_set,protocol,augmentation,R2_mean,R2_std,R2_median,R2_min,R2_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_median,MAE_min,MAE_max,MAPE_mean,MAPE_std,MAPE_median,MAPE_min,MAPE_max,MBE_mean,MBE_std,MBE_median,MBE_min,MBE_max,NRMSE_mean,NRMSE_std,NRMSE_median,NRMSE_min,NRMSE_max
rf_baseline,random_forest,all,extrapolation_grouped,rd_bt,0.4477179511750996,0.2468333374667108,0.51222384212877,0.0243932211194322,0.7640511822873677,0.0122182300161163,0.0040601557739882,0.0108208281101484,0.0075006154737722,0.0220442490009238,0.0048563369498736,0.0012660875768979,0.004751716030213,0.0033725337994364,0.0066033659437083,333.92268465313,215.1589105309497,278.5447567752793,111.42831997496762,700.8768104469468,-0.0006615923241383,0.0012673662201457,-0.0005408566786547,-0.0029126278703939,0.0012145531085133,1.4333704657069206,0.518600144406231,1.3188817594947913,0.8492030620937804,2.646839164961725
xgb_paper_sqrt,xgboost,all,extrapolation_grouped,rd_bt,0.4411464581800027,0.1547963208346552,0.439068232282671,0.0734021224821236,0.625391244361148,0.0125722435162525,0.0038315908780658,0.0119341789793556,0.0088750774447433,0.021483426671878,0.0051301093069046,0.00088210616465,0.0054402971041754,0.0033824424068438,0.0060925042260108,437.7957213857526,287.27890177982204,350.63004873119365,148.4484816048622,1109.1713260945496,-0.0002477328580196,0.0017029197600391,-0.0007384032626817,-0.0029637802890643,0.0029950989137308,1.476954341136414,0.4990301323628484,1.401039796568282,0.9395194839300705,2.579501579315639
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd_bt,0.4223354277181347,0.1972856437888435,0.4118338409959526,0.057485920841967,0.7506876861889742,0.0126317695648815,0.0038718016115101,0.0118799886782905,0.0077100973817276,0.0216671518244504,0.0049877776153031,0.0011308272575123,0.0048110728997448,0.0034341835227121,0.0066467295453321,283.67705016189126,240.73653421711265,160.32954164188587,101.65633838611872,721.3009088571464,-0.0008651679220605,0.0016867836466071,-0.0007948166015229,-0.0036140478823337,0.0026268570142364,1.472917874407446,0.4758362066960242,1.3940091072219432,0.8729201394871087,2.6015613432657143
rf_paper_sqrt,random_forest,all,extrapolation_grouped,rd_bt,0.3875936661623608,0.218371781606508,0.42684476031887,0.0473291159865136,0.747906422950119,0.0129248827191651,0.0037945115340774,0.0121870672445889,0.0077529840245427,0.0217835847398669,0.0049591246664262,0.0010059890633677,0.0053226051690976,0.0034212699375747,0.0061414554399597,349.0416896698669,239.7992327092006,289.6622285805772,139.03547290819208,906.1734507050048,-0.0004380810824827,0.0016306525150199,-0.0005547853088175,-0.0031885237978066,0.0029637435163911,1.5153388302165718,0.4878891182357253,1.4532399675810517,0.8777756701470717,2.615541370464744
xgb_absoluteerror_sqrt,xgboost,all,extrapolation_grouped,rd_bt,0.3929201153294919,0.224143387160496,0.4232616302526039,0.0640543418748592,0.8306469282036881,0.0129873094884274,0.0044297745769742,0.0129226768387597,0.0063545461479673,0.0215915201689277,0.0050444327076387,0.0013092258768337,0.0047348558906286,0.0032465301965788,0.0071066813074809,289.6802267841796,172.5959999792763,209.08182308724088,105.63813619251891,594.9634460549091,-0.000546348916027,0.001536098560052,-0.0003625530410614,-0.0037980650385459,0.00149991660881,1.5223031470297754,0.5569042471701618,1.5245297271647076,0.7194476327895538,2.592480297776716
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd_bt,0.334711776118115,0.384251818958443,0.4799959082669262,-0.4765013212898661,0.7547232266237206,0.0131302754132906,0.0042744166841027,0.012070972743988,0.0076474423356825,0.0218934759023804,0.0049480282182505,0.0013754392071848,0.0046193805551582,0.0031534804350624,0.0070554337998874,338.64966531844465,168.77797265385286,269.4149348419167,191.29544943506852,654.3456343160607,-0.0003857573800949,0.0013427367595549,-0.0003293835311093,-0.0028297825772568,0.0013603762480247,1.5422920725641407,0.5473003564007093,1.4932668580146742,0.8658264740214922,2.628735933491672
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd_bt,0.3614198690859703,0.2544011860092313,0.371789969881484,0.04720950778591,0.7582267882576854,0.0132042724070845,0.0042998503897841,0.0128133824784932,0.0074634820462137,0.021784952165723,0.0053434821381803,0.0016099733229352,0.0054889165661787,0.0035529010306551,0.0076635177761053,461.24667474420687,258.9032119213094,471.0442064028256,118.0992420133778,918.8310227229676,-0.0005804934233867,0.0014612887790432,-0.0004554220830538,-0.003478601179041,0.0017469950597343,1.5509590221762042,0.5511574447862395,1.5745945147707832,0.837918463924188,2.61570555643048
xgb_pseudohuber_sqrt,xgboost,all,extrapolation_grouped,rd_bt,0.3550647699752795,0.2234672199667878,0.3820661546929669,-0.0518394428717901,0.720330826578007,0.0132620167901768,0.0036721783231552,0.0124824451025053,0.0081660173471184,0.0215392082994004,0.0054835437739225,0.001383164704518,0.0052724945210497,0.0036287835856045,0.0076748452126301,469.1399267186081,267.57598635781125,434.8537754160135,180.75480780327493,954.1313561793188,-0.0001829425853274,0.001620001333212,-3.597853845211278e-05,-0.0032105163220405,0.001859227015585,1.5545911799742158,0.4776251232310373,1.5198245375482478,0.9245383876206544,2.586199244380362
xgb_log_target_sqrt,xgboost,all,extrapolation_grouped,rd_bt,0.3387431887846021,0.2602707518028601,0.3640574992925662,-0.1632472999672993,0.784346900731203,0.0134498704789013,0.0042294969180147,0.0126417307899794,0.0071707709555633,0.0216277151048692,0.0054442493614717,0.0016359493936134,0.0051767984949089,0.0034988123345151,0.0083732617714198,382.1340191281474,199.67606716895472,379.9542945844855,106.51165942239392,698.2744111191644,-0.000562971726129,0.0014918777251428,-0.0006513167504675,-0.0030784943900829,0.001849476903511,1.575266905172645,0.535314477548655,1.550881987269728,0.8118587966988633,2.5968262010560315
xgb_log_target_inverse,xgboost,all,extrapolation_grouped,rd_bt,0.3479670225180712,0.1967000145012484,0.3539292448378704,0.0238140879848808,0.7257987788968725,0.0134526259617212,0.0039439055750185,0.0125494382575712,0.0080857943404413,0.0220507909096426,0.0054062810257506,0.0011736688939264,0.0050922358884787,0.0036297737488695,0.0070637418676095,459.3572305493384,268.3138946824877,433.8864220223636,190.3417485343516,981.9307601425836,-0.0006626507660698,0.0014086202511534,-0.0003462418343336,-0.0036113307379403,0.0011700518763017,1.5766544041277502,0.5069434144737338,1.5229332978563868,0.91545571658403,2.6476246478425325
