split_id,protocol,seed,fold,model_id,model_family,feature_set,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,mlp_all,mlp,all,844,19,0.7244322102220317,0.8850370717402937,0.2583462595939636,0.27793138163552417,0.7689655172413793,0.6520630724199792,0.7158908507223114,0.5882352941176471,0.8305400372439479,0.0,0.8493524199045671,0.5,1.0,0.0,0.7381516587677726,0.27793138163552417,0.7689655172413793,0.6520630724199792,0.7158908507223114,0.5882352941176471,0.8305400372439479,0.27793138163552417,0.7689655172413793,0.6520630724199792,0.7158908507223114,0.5882352941176471,0.8305400372439479
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,mlp_all,mlp,all,902,18,0.5905833104293959,0.8607037803148112,0.20075516402721405,-0.059421291844302115,0.7983595352016405,0.4743898743454759,0.8354792560801144,0.11330049261083744,0.7643979057591623,0.0,0.8732042473454091,0.5,1.0,0.0,0.7749445676274944,-0.0014300216153698543,0.7529411764705882,0.49924240822568483,0.7324749642346209,0.2660098522167488,0.7745839636913767,-0.0014300216153698543,0.7529411764705882,0.49924240822568483,0.7324749642346209,0.2660098522167488,0.7745839636913767
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,mlp_all,mlp,all,901,82,0.8740650785200959,0.9604046841785315,0.14288868010044098,0.5499629919660824,0.8136752136752137,0.8183257918552036,0.7,0.9366515837104072,0.9714285714285714,0.4309485325638287,0.867870036101083,0.7066176470588235,0.8838235294117647,0.5294117647058824,0.8524822695035461,0.5499629919660824,0.8136752136752137,0.8183257918552036,0.7,0.9366515837104072,0.9714285714285714,0.5499629919660824,0.8136752136752137,0.8183257918552036,0.7,0.9366515837104072,0.9714285714285714
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,mlp_all,mlp,all,901,79,0.8841662230503061,0.9611596216040863,0.14254513382911682,0.5629725646035488,0.8250211327134404,0.8248868778280543,0.7176470588235294,0.9321266968325792,0.9701789264413518,0.4203559754630218,0.8806073153899241,0.672737556561086,0.9382352941176471,0.4072398190045249,0.8296488946684005,0.5629725646035488,0.8250211327134404,0.8248868778280543,0.7176470588235294,0.9321266968325792,0.9701789264413518,0.5629725646035488,0.8250211327134404,0.8248868778280543,0.7176470588235294,0.9321266968325792,0.9701789264413518
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,mlp_all,mlp,all,900,80,0.8808068826261671,0.954580178661377,0.14896219968795776,0.5411502062770168,0.8286189683860233,0.8101546724954851,0.7334315169366715,0.8868778280542986,0.9521988527724665,0.4890423094476553,0.8909090909090909,0.7111536129122545,0.9381443298969072,0.4841628959276018,0.848202396804261,0.5443342619657139,0.8176420695504665,0.8142097441672942,0.7098674521354934,0.918552036199095,0.964,0.5443342619657139,0.8176420695504665,0.8142097441672942,0.7098674521354934,0.918552036199095,0.964
interpolation_stratified__seed-44__fold-2,interpolation_stratified,44,2,mlp_all,mlp,all,900,81,0.8862813959842463,0.9599932145396926,0.14458590745925903,0.5462883836209393,0.8462783171521036,0.8082021071711794,0.7702503681885126,0.8461538461538461,0.9389587073608617,0.47319600991651806,0.8871758934828311,0.7059456613731933,0.9322533136966127,0.4796380090497738,0.8462566844919787,0.5410330389870014,0.8192567567567568,0.8118939883645766,0.7142857142857143,0.9095022624434389,0.9603960396039604,0.5410330389870014,0.8192567567567568,0.8118939883645766,0.7142857142857143,0.9095022624434389,0.9603960396039604
interpolation_stratified__seed-44__fold-3,interpolation_stratified,44,3,mlp_all,mlp,all,900,78,0.8734097921484216,0.959469525522149,0.15106931328773499,0.5495293927798087,0.8193384223918575,0.817208564631245,0.711340206185567,0.9230769230769231,0.966,0.41831777557879524,0.8770949720670391,0.6796393418588689,0.9248895434462445,0.4343891402714932,0.8339973439575034,0.5487054177168592,0.8146883005977796,0.8173151893588522,0.7025036818851251,0.9321266968325792,0.9695121951219512,0.5487054177168592,0.8146883005977796,0.8173151893588522,0.7025036818851251,0.9321266968325792,0.9695121951219512
interpolation_stratified__seed-44__fold-4,interpolation_stratified,44,4,mlp_all,mlp,all,900,86,0.8800138612145889,0.9600869863795822,0.14043140411376953,0.5847377262720443,0.8596774193548387,0.8291405380550316,0.7849779086892489,0.8733031674208145,0.9500891265597148,0.29481814046350163,0.8684034736138945,0.5985545685363757,0.9572901325478645,0.2398190045248869,0.7946210268948656,0.5576879774013742,0.8170940170940171,0.822576453261717,0.7039764359351989,0.9411764705882353,0.9735234215885947,0.5576879774013742,0.8170940170940171,0.822576453261717,0.7039764359351989,0.9411764705882353,0.9735234215885947
extrapolation_grouped__seed-44__fold-0,extrapolation_grouped,44,0,mlp_all,mlp,all,859,15,0.7003072837632777,0.8864655195656115,0.2097347378730774,0.202427293495918,0.40047675804529204,0.5974658573596358,0.2549317147192716,0.94,0.9333333333333333,0.0,0.8682476943346509,0.5,1.0,0.0,0.7671711292200233,0.202427293495918,0.40047675804529204,0.5974658573596358,0.2549317147192716,0.94,0.9333333333333333,0.202427293495918,0.40047675804529204,0.5974658573596358,0.2549317147192716,0.94,0.9333333333333333
extrapolation_grouped__seed-44__fold-1,extrapolation_grouped,44,1,mlp_all,mlp,all,901,17,0.6695380510068679,0.8787678119410843,0.2799172103404999,0.18445657520437778,0.419672131147541,0.5945478936700739,0.27157001414427157,0.9175257731958762,0.9230769230769231,0.0,0.8793532338308457,0.5,1.0,0.0,0.7846836847946725,0.18659183650739275,0.42311886586695746,0.5959623208270753,0.2743988684582744,0.9175257731958762,0.9238095238095239,0.18659183650739275,0.42311886586695746,0.5959623208270753,0.2743988684582744,0.9175257731958762,0.9238095238095239
extrapolation_grouped__seed-44__fold-2,extrapolation_grouped,44,2,mlp_all,mlp,all,1020,15,0.711941143180532,0.8716169347598927,0.2454880028963089,0.20005417465879896,0.813968253968254,0.5866454805334262,0.865047233468286,0.30824372759856633,0.7685851318944844,0.0,0.8415672913117547,0.5,1.0,0.0,0.7264705882352941,0.2757091732424866,0.6907051282051282,0.6546224950299653,0.581646423751687,0.7275985663082437,0.8500986193293886,0.2757091732424866,0.6907051282051282,0.6546224950299653,0.581646423751687,0.7275985663082437,0.8500986193293886
extrapolation_grouped__seed-44__fold-3,extrapolation_grouped,44,3,mlp_all,mlp,all,846,20,0.7728434504792332,0.9085297822527052,0.23010015487670898,0.3198927873943603,0.6281512605042017,0.6774542550101655,0.4776357827476038,0.8772727272727273,0.9171779141104295,0.0,0.8505434782608695,0.5,1.0,0.0,0.7399527186761229,0.3198927873943603,0.6281512605042017,0.6774542550101655,0.4776357827476038,0.8772727272727273,0.9171779141104295,0.3198927873943603,0.6281512605042017,0.6774542550101655,0.4776357827476038,0.8772727272727273,0.9171779141104295
extrapolation_grouped__seed-44__fold-4,extrapolation_grouped,44,4,mlp_all,mlp,all,875,19,0.6368884999573123,0.8487868229752649,0.22932788729667664,0.16836986402615292,0.3507917174177832,0.575578417143345,0.2171945701357466,0.9339622641509434,0.9113924050632911,0.0,0.8621586475942783,0.5,1.0,0.0,0.7577142857142857,0.13934449559022655,0.5605605605605606,0.5790859159338626,0.42232277526395173,0.7358490566037735,0.8333333333333334,0.13934449559022655,0.5605605605605606,0.5790859159338626,0.42232277526395173,0.7358490566037735,0.8333333333333334
lopo__seed-42__fold-0,lopo,42,0,mlp_all,mlp,all,10,1,,,3.9932502291818717e-13,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-1,lopo,42,1,mlp_all,mlp,all,18,1,,,1.3893632058170624e-05,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-2,lopo,42,2,mlp_all,mlp,all,74,1,0.7892857142857144,0.9853095364036941,0.04558970779180527,0.4714285714285714,0.9714285714285714,0.7357142857142858,0.9714285714285714,0.5,0.9714285714285714,0.0,0.9722222222222222,0.5,1.0,0.0,0.9459459459459459,0.4714285714285714,0.9714285714285714,0.7357142857142858,0.9714285714285714,0.5,0.9714285714285714,0.4714285714285714,0.9714285714285714,0.7357142857142858,0.9714285714285714,0.5,0.9714285714285714
lopo__seed-42__fold-3,lopo,42,3,mlp_all,mlp,all,8,1,,,0.0009559140889905393,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-4,lopo,42,4,mlp_all,mlp,all,20,1,,,0.140788733959198,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
lopo__seed-42__fold-5,lopo,42,5,mlp_all,mlp,all,18,1,0.6818181818181818,0.49433106575963714,0.5827925205230713,0.0,0.56,0.5,1.0,0.0,0.3888888888888889,0.0,0.56,0.5,1.0,0.0,0.3888888888888889,0.0,0.56,0.5,1.0,0.0,0.3888888888888889,0.0,0.56,0.5,1.0,0.0,0.3888888888888889
lopo__seed-42__fold-6,lopo,42,6,mlp_all,mlp,all,22,1,0.6761904761904761,0.8797820308346623,0.1905578076839447,0.0,0.0,0.5,0.0,1.0,,0.0,0.8108108108108109,0.5,1.0,0.0,0.6818181818181818,0.0,0.0,0.5,0.0,1.0,,0.0,0.0,0.5,0.0,1.0,
lopo__seed-42__fold-7,lopo,42,7,mlp_all,mlp,all,24,1,,,0.27933257818222046,0.0,0.5,0.3333333333333333,0.3333333333333333,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.5,0.3333333333333333,0.3333333333333333,,1.0,0.0,0.5,0.3333333333333333,0.3333333333333333,,1.0
lopo__seed-42__fold-8,lopo,42,8,mlp_all,mlp,all,35,1,0.3803418803418803,0.7027847679405799,0.23099665343761444,-0.19611613513818404,0.24242424242424243,0.41025641025641024,0.15384615384615385,0.6666666666666666,0.5714285714285714,0.0,0.8524590163934426,0.5,1.0,0.0,0.7428571428571429,-0.19611613513818404,0.24242424242424243,0.41025641025641024,0.15384615384615385,0.6666666666666666,0.5714285714285714,-0.19611613513818404,0.24242424242424243,0.41025641025641024,0.15384615384615385,0.6666666666666666,0.5714285714285714
lopo__seed-42__fold-9,lopo,42,9,mlp_all,mlp,all,5,1,0.6666666666666666,0.7555555555555555,0.20007534325122833,0.4082482904638631,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,0.75,0.5,1.0,0.0,0.6,0.4082482904638631,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,0.4082482904638631,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0
lopo__seed-42__fold-10,lopo,42,10,mlp_all,mlp,all,20,1,,,0.00448137242347002,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-11,lopo,42,11,mlp_all,mlp,all,39,1,0.7228260869565217,0.6959806315867656,0.4797835648059845,0.0,0.5818181818181818,0.5,1.0,0.0,0.41025641025641024,0.0,0.5818181818181818,0.5,1.0,0.0,0.41025641025641024,0.0,0.5818181818181818,0.5,1.0,0.0,0.41025641025641024,0.0,0.5818181818181818,0.5,1.0,0.0,0.41025641025641024
lopo__seed-42__fold-12,lopo,42,12,mlp_all,mlp,all,13,1,0.9,0.9697979797979798,0.20477917790412903,0.0,0.8695652173913043,0.5,1.0,0.0,0.7692307692307693,0.0,0.8695652173913043,0.5,1.0,0.0,0.7692307692307693,0.0,0.8695652173913043,0.5,1.0,0.0,0.7692307692307693,0.0,0.8695652173913043,0.5,1.0,0.0,0.7692307692307693
lopo__seed-42__fold-13,lopo,42,13,mlp_all,mlp,all,4,1,,,0.00016541226068511605,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-14,lopo,42,14,mlp_all,mlp,all,8,1,,,0.12787531316280365,0.0,0.8571428571428571,0.75,0.75,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.8571428571428571,0.75,0.75,,1.0,0.0,0.8571428571428571,0.75,0.75,,1.0
lopo__seed-42__fold-15,lopo,42,15,mlp_all,mlp,all,21,1,,,3.0368669285962824e-06,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-16,lopo,42,16,mlp_all,mlp,all,33,1,,,1.869777770480141e-05,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-17,lopo,42,17,mlp_all,mlp,all,26,1,0.894736842105263,0.9623009377510763,0.1874639093875885,0.0,0.0,0.5,0.0,1.0,,0.0,0.8444444444444444,0.5,1.0,0.0,0.7307692307692307,0.0,0.0,0.5,0.0,1.0,,0.0,0.0,0.5,0.0,1.0,
lopo__seed-42__fold-18,lopo,42,18,mlp_all,mlp,all,6,1,,,0.00032514185295440257,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-19,lopo,42,19,mlp_all,mlp,all,91,1,,,0.017771951854228973,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
lopo__seed-42__fold-20,lopo,42,20,mlp_all,mlp,all,9,1,,,0.18073876202106476,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
lopo__seed-42__fold-21,lopo,42,21,mlp_all,mlp,all,83,1,0.6743589743589743,0.9682547026279911,0.14781685173511505,0.06190046357653087,0.8175182481751825,0.558974358974359,0.717948717948718,0.4,0.9491525423728814,0.0,0.968944099378882,0.5,1.0,0.0,0.9397590361445783,0.15497257307905263,0.6833333333333333,0.6628205128205129,0.5256410256410257,0.8,0.9761904761904762,0.15497257307905263,0.6833333333333333,0.6628205128205129,0.5256410256410257,0.8,0.9761904761904762
