protocol,augmentation,model_a,model_b,paired_fold_count,delta_RMSE,wilcoxon_p_RMSE,delta_MAE,wilcoxon_p_MAE,delta_R2,wilcoxon_p_R2,caveat
extrapolation_grouped,rd,knn_uniform_inverse,xgb_baseline,10,0.0013456630569158702,0.375,0.0007209705583116201,0.083984375,-0.191661907333672,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_log_target_inverse,10,0.0001739354811499002,0.6953125,0.0002412314083217799,0.556640625,-0.06350364339542973,0.6953125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_log_target_sqrt,10,0.00151827750608088,0.193359375,0.0009691117719710299,0.00390625,-0.20952526167852176,0.10546875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_paper_bagging_sqrt,10,0.0007947164513717401,0.375,0.00025178389324506,0.431640625,-0.12257253820970984,0.322265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_paper_inverse,10,0.0008421088503817303,0.6953125,0.0007812534702374899,0.10546875,-0.13572182838041486,0.556640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_paper_sqrt,10,0.00132703003939786,0.4921875,0.0008718529195903598,0.064453125,-0.19736047201490894,0.322265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_pseudohuber_inverse,10,0.0011246796225273202,0.556640625,0.0008755756780706801,0.064453125,-0.15651687330071387,0.431640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_inverse,xgb_pseudohuber_sqrt,10,0.0008310836009388702,0.6953125,0.00047051580533298,0.375,-0.13929186696862636,0.375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,mlp_log_target_inverse,10,-0.00623426643969463,0.275390625,-0.005331740043668221,0.009765625,1.389197630337232,0.375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,mlp_log_target_sqrt,10,-0.00524356702671772,0.064453125,-0.00307546780896743,0.01953125,0.8564847144691659,0.064453125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,rf_baseline,10,0.0030118743045675998,0.037109375,0.00161863282851882,0.02734375,-0.4009406620703224,0.037109375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,rf_paper_inverse,10,0.0018565099298407301,0.232421875,0.0014081803277230698,0.02734375,-0.2751772234769879,0.232421875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,rf_paper_sqrt,10,0.00238219872782241,0.16015625,0.00146381736592241,0.02734375,-0.3461428981599946,0.16015625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,svr_linear,10,-0.005728236391876301,0.01953125,-0.0034993166856788797,0.00390625,1.0807422520406347,0.02734375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,svr_rbf,10,-0.0009194140447593405,0.4921875,-0.0030250485591047102,0.005859375,0.006156620845597732,0.4921875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,svr_rbf_inverse,10,-0.00038720721421986996,0.625,-0.0035450844885099803,0.00390625,-0.05875586480620758,0.845703125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,svr_rbf_sqrt,10,-0.00011411049483471009,0.431640625,-0.0025015299268844994,0.01953125,-0.10058036541372954,0.431640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,xgb_absoluteerror_inverse,10,0.00247746588904114,0.037109375,0.00130365755923743,0.013671875,-0.3471894754987567,0.037109375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,xgb_absoluteerror_sqrt,10,0.0025171989553964204,0.064453125,0.00135601489884815,0.001953125,-0.3561721900108531,0.048828125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,rd,knn_uniform_sqrt,xgb_baseline,10,0.00227106911023987,0.322265625,0.00097803425698136,0.232421875,-0.33970852868284324,0.322265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
