configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,candidate_id,model_id,model_family,protocol,split_id
8,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.8223796459844412,0.9203776761657869,0.16035982966423035,0.4400220110459246,0.8636112644947542,0.7182269157052126,0.8669623059866962,0.5694915254237288,0.8602860286028603,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
8,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.8563170279198153,0.9467560394710256,0.1632644236087799,0.45748718769619817,0.859718309859155,0.7358741722853221,0.8458980044345898,0.6258503401360545,0.8739977090492554,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
8,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.8586361373817819,0.9439702127546834,0.14496144652366638,0.4645080160374985,0.8737014762165117,0.7252175814893584,0.885809312638581,0.564625850340136,0.8619201725997843,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
8,mean,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.8457776037620128,0.9370346427971653,0.15619523326555887,0.4540057382598737,0.865677016856807,0.7264395564932977,0.8662232076866223,0.5866559052999731,0.8654013034173,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
9,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003}",0.829330301777594,0.9243280153143691,0.14408168196678162,0.43295933707753115,0.8628099173553719,0.713696493667556,0.8680709534368071,0.559322033898305,0.8576122672508215,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
9,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003}",0.8721982140971688,0.9567291451861566,0.13701514899730682,0.4431270074807757,0.8746637977407208,0.705767229286393,0.9013303769401331,0.5102040816326531,0.8495297805642633,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
9,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003}",0.85074173793686,0.93994574010857,0.14909057319164276,0.469917615882816,0.870575221238938,0.733871819237673,0.8725055432372506,0.5952380952380952,0.8686534216335541,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
9,mean,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003}",0.850756751270541,0.9403343002030319,0.14339580138524374,0.4486679868137076,0.8693496454450101,0.717778514063874,0.8806356245380637,0.5549214035896844,0.858598489816213,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
10,0,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.7419914314705551,0.8956897968568232,0.17689260840415955,0.0,0.859456884230586,0.5,1.0,0.0,0.7535505430242272,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
10,1,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.6813864126581897,0.8749583074579189,0.17810994386672974,0.0,0.8598665395614872,0.5,1.0,0.0,0.754180602006689,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
